Deck,Player,Format,Event,Level,Rank,Date,LANDS,CREATURES,INSTANTS_and_SORC.,OTHER_SPELLS,SIDEBOARD,LANDS_(29),LANDS_(26),LANDS_(27),LANDS_(28)
Faeries,Justin Cheung,Standard,Worlds 2008 (Memphis),,Day 1 undefeated,14/12/08,25.0,13.0,15.0,7.0,0.0,,,,
Boros,Bram Snepvangers,Standard,Worlds 2009 (Rome),,3-4,19/11/09,24.0,24.0,10.0,2.0,0.0,,,,
Vampires,Oleksii Antonenko,Standard,Worlds 2009 (Rome),,Day 1 undefeated,19/11/09,24.0,22.0,13.0,1.0,0.0,,,,
Jund,David Reitbauer,Standard,Worlds 2009 (Rome),,2,19/11/09,25.0,16.0,17.0,2.0,0.0,,,,
Jund,Marijn Lybaert,Standard,Worlds 2009 (Rome),,5-8,19/11/09,25.0,16.0,16.0,3.0,0.0,,,,
Jund,Cynic Kim,Standard,Worlds 2009 (Rome),,Day 1 undefeated,19/11/09,25.0,18.0,16.0,1.0,0.0,,,,
Rampant Jund,Tomoharu Saito,Standard,Worlds 2009 (Rome),,Day 1 undefeated,19/11/09,25.0,15.0,20.0,,0.0,,,,
Turbo Fog,Joel Calafell,Standard,Worlds 2009 (Rome),,Day 1 undefeated,19/11/09,24.0,,22.0,14.0,0.0,,,,
Naya Lightsaber,André Coimbra,Standard,Worlds 2009 (Rome),,1,19/11/09,24.0,25.0,8.0,3.0,0.0,,,,
Naya,Terry Soh,Standard,Worlds 2009 (Rome),,3-4,19/11/09,22.0,26.0,11.0,1.0,0.0,,,,
Mono W Tokens,William Cavaglieri,Standard,Worlds 2009 (Rome),,5-8,19/11/09,24.0,18.0,11.0,7.0,0.0,,,,
Bant,Manuel Bucher,Standard,Worlds 2009 (Rome),,5-8,19/11/09,23.0,28.0,4.0,5.0,0.0,,,,
Jund,Florian Pils,Standard,Worlds 2009 (Rome),,5-8,19/11/09,25.0,15.0,17.0,3.0,0.0,,,,
UB Control,Guillaume Wafo-Tapa,Standard,Worlds 2010 (Chiba),,2,12/12/10,26.0,5.0,17.0,12.0,0.0,,,,
UB Control,Guillaume Matignon,Standard,Worlds 2010 (Chiba),,1,12/12/10,26.0,5.0,19.0,10.0,0.0,,,,
Br Vampires,Eric Froehlich,Standard,Worlds 2010 (Chiba),,5-8,12/12/10,23.0,25.0,9.0,3.0,0.0,,,,
UB Control,Paulo Vitor Damo da Rosa,Standard,Worlds 2010 (Chiba),,3-4,12/12/10,26.0,6.0,19.0,9.0,0.0,,,,
Eldrazi Green,Love Janse,Standard,Worlds 2010 (Chiba),,3-4,12/12/10,26.0,18.0,13.0,3.0,0.0,,,,
UW Control,Jonathan Randle,Standard,Worlds 2010 (Chiba),,5-8,12/12/10,26.0,3.0,17.0,14.0,0.0,,,,
UB Control,Christopher Wolf,Standard,Worlds 2010 (Chiba),,5-8,12/12/10,26.0,6.0,18.0,10.0,0.0,,,,
UB Control,Lukas Jaklovsky,Standard,Worlds 2010 (Chiba),,5-8,12/12/10,26.0,6.0,17.0,11.0,0.0,,,,
Caw Go,Brian Kibler,Standard,Worlds 2010 (Chiba),,Day 1 undefeated,12/12/10,26.0,4.0,18.0,12.0,0.0,,,,
Elves,Pierre Canali,Standard,Worlds 2010 (Chiba),,Day 1 undefeated,12/12/10,23.0,32.0,,5.0,0.0,,,,
Valakut Ramp,Shuhei Nakamura ,Standard,Worlds 2010 (Chiba),,Other,12/12/10,28.0,12.0,16.0,4.0,0.0,,,,
Br Vampires,Sam Black,Standard,Worlds 2010 (Chiba),,Other,12/12/10,23.0,28.0,5.0,4.0,0.0,,,,
Valakut Ramp,Gerry Thompson,Standard,Worlds 2010 (Chiba),,Other,12/12/10,28.0,12.0,16.0,4.0,0.0,,,,
UW Control,Olivier Ruel,Standard,Worlds 2010 (Chiba),,Other,12/12/10,27.0,3.0,14.0,16.0,0.0,,,,
UB Control with Persecutors,Yuuya Watanabe,Standard,Worlds 2010 (Chiba),,Other,12/12/10,26.0,7.0,20.0,7.0,0.0,,,,
UB Control,Martin Juza,Standard,Worlds 2010 (Chiba),,Other,12/12/10,26.0,6.0,19.0,9.0,0.0,,,,
UW Control,Akio Chiba,Standard,Worlds 2010 (Chiba),,Other,12/12/10,25.0,9.0,14.0,12.0,0.0,,,,
Valakut Ramp,Matt Sperling,Standard,Worlds 2010 (Chiba),,Other,12/12/10,28.0,12.0,16.0,4.0,0.0,,,,
UB Control,Stjepan Sucic,Standard,Worlds 2010 (Chiba),,Other,12/12/10,26.0,3.0,22.0,9.0,0.0,,,,
Valakut Ramp,Ryouichi Tamada,Standard,Worlds 2010 (Chiba),,Other,12/12/10,28.0,12.0,16.0,4.0,0.0,,,,
RUG Control,"Cristian Zúñiga,",Standard,Worlds 2010 (Chiba),,Other,12/12/10,27.0,13.0,16.0,4.0,0.0,,,,
Boros Landfall,Chikara Nakajima,Standard,Worlds 2010 (Chiba),,Other,12/12/10,25.0,22.0,4.0,9.0,0.0,,,,
Valakut Ramp,Tomek Pedrakowski,Standard,Worlds 2010 (Chiba),,Other,12/12/10,28.0,10.0,18.0,4.0,0.0,,,,
BUG Control,Alexey Golovin,Standard,Worlds 2010 (Chiba),,Other,12/12/10,27.0,13.0,16.0,4.0,0.0,,,,
Tempered Steel,Conley Woods,Standard,Worlds 2011 - Top 8,,3-4,20/11/11,19.0,21.0,4.0,16.0,0.0,,,,
Tempered Steel,Paulo Vitor Damo da Rosa,Standard,Worlds 2011 - Top 8,,5-8,20/11/11,19.0,21.0,4.0,16.0,0.0,,,,
Tempered Steel,Luis Scott-Vargas,Standard,Worlds 2011 - Top 8,,5-8,20/11/11,19.0,21.0,4.0,16.0,0.0,,,,
Tempered Steel,Josh Utter-Leyton,Standard,Worlds 2011 - Top 8,,5-8,20/11/11,19.0,21.0,4.0,16.0,0.0,,,,
Kessig Titan,Junya Iyanaga,Standard,Worlds 2011 - Top 8,,1,20/11/11,26.0,14.0,16.0,4.0,0.0,,,,
GW Aggro,Richard Bland,Standard,Worlds 2011 - Top 8,,2,20/11/11,25.0,19.0,2.0,14.0,0.0,,,,
Red Deck Wins,David Caplan,Standard,Worlds 2011 - Top 8,,3-4,20/11/11,21.0,20.0,15.0,4.0,0.0,,,,
Saint WW with Leaks,Craig Wescoe,Standard,Worlds 2011 - Top 8,,5-8,20/11/11,24.0,24.0,5.0,7.0,0.0,,,,
Red Deck Wins,David Caplan,Standard,Worlds 2011 - Undefeated Standard,,,17/11/11,21.0,20.0,15.0,4.0,0.0,,,,
Kessig Titan,Kyle Stoll,Standard,Worlds 2011 - Undefeated Standard,,,17/11/11,25.0,14.0,14.0,7.0,0.0,,,,
Kessig Titan,Junya Iyanaga,Standard,Worlds 2011 - Undefeated Standard,,,17/11/11,26.0,14.0,16.0,4.0,0.0,,,,
Tempered Steel,Conley Woods,Standard,Worlds 2011 - Undefeated Standard,,,17/11/11,19.0,21.0,4.0,16.0,0.0,,,,
Saint WW with Leaks,Craig Wescoe,Standard,Worlds 2011 - Undefeated Standard,,,17/11/11,24.0,24.0,5.0,7.0,0.0,,,,
UW Control,Andrew Cuneo,Standard,Worlds 2011 - Undefeated Standard,,,17/11/11,27.0,2.0,23.0,8.0,0.0,,,,
Grand Heart-chitect,Alan Comer,Standard,Worlds Standard (15 points and original),,Other,17/11/11,20.0,28.0,4.0,8.0,0.0,,,,
Grixis Control,Patrick Chapin,Standard,Worlds Standard (15 points and original),,2,17/11/11,26.0,10.0,20.0,4.0,0.0,,,,
Solar Flare,Ali Aintrazi,Standard,Worlds Standard (15 points and original),,Other,17/11/11,27.0,8.0,21.0,4.0,0.0,,,,
Kessig Titan,Matthias Hunt,Standard,Worlds Standard (15 points and original),,2,17/11/11,25.0,14.0,14.0,7.0,0.0,,,,
GW Aggro,Fabian Thiele,Standard,Worlds Standard (15 points and original),,2,17/11/11,24.0,22.0,3.0,11.0,0.0,,,,
GW Aggro,Andrew Bennett,Standard,Worlds Standard (15 points and original),,2,17/11/11,24.0,22.0,3.0,11.0,0.0,,,,
Red Deck Wins,Simon Bertiou,Standard,Worlds Standard (15 points and original),,2,17/11/11,22.0,19.0,15.0,4.0,0.0,,,,
Illusions,Nico Bohny,Standard,Worlds Standard (15 points and original),,2,17/11/11,20.0,22.0,18.0,,0.0,,,,
Saint WW with Leaks,Marcus Camargo,Standard,Worlds Standard (15 points and original),,2,17/11/11,24.0,23.0,4.0,9.0,0.0,,,,
Illusions,Lucas Mercader,Standard,Worlds Standard (15 points and original),,2,17/11/11,20.0,20.0,20.0,,0.0,,,,
Illusions,Katsahiro Mori,Standard,Worlds Standard (15 points and original),,2,17/11/11,20.0,21.0,19.0,,0.0,,,,
Illusions,Filipe Cardoso,Standard,Worlds Standard (15 points and original),,2,17/11/11,20.0,20.0,20.0,,0.0,,,,
Puresteel Paladin,Gregory Cassini,Standard,Worlds Standard (15 points and original),,2,17/11/11,23.0,14.0,5.0,18.0,0.0,,,,
GW Aggro, Rigo Castellan Robles,Standard,Worlds Standard (15 points and original),,2,17/11/11,24.0,22.0,2.0,12.0,0.0,,,,
Red Deck Wins,Allan Christensen,Standard,Worlds Standard (15 points and original),,2,17/11/11,22.0,18.0,16.0,4.0,0.0,,,,
GW Aggro,Bo Ruad Chun,Standard,Worlds Standard (15 points and original),,2,17/11/11,24.0,16.0,5.0,15.0,0.0,,,,
Solar Flare,Jeremy Neeman,Standard,Worlds Standard (15 points and original),,2,17/11/11,27.0,6.0,24.0,3.0,0.0,,,,
Kessig Titan,Mikko Nurmi,Standard,Worlds Standard (15 points and original),,2,17/11/11,25.0,20.0,11.0,4.0,0.0,,,,
Red Deck Wins,Florian Pils,Standard,Worlds Standard (15 points and original),,2,17/11/11,22.0,18.0,13.0,7.0,0.0,,,,
Red Deck Wins,Marcelivo Freeman,Standard,Worlds Standard (15 points and original),,2,17/11/11,22.0,21.0,11.0,6.0,0.0,,,,
GW Aggro,Tomoya Fujimoto,Standard,Worlds Standard (15 points and original),,2,17/11/11,24.0,23.0,2.0,11.0,0.0,,,,
Illusions,Thoralf Severin,Standard,Worlds Standard (15 points and original),,2,17/11/11,20.0,21.0,19.0,,0.0,,,,
Red Deck Wins, Ruben Snijdewind,Standard,Worlds Standard (15 points and original),,2,17/11/11,23.0,22.0,10.0,5.0,0.0,,,,
GW Aggro, Thomos Holzinger,Standard,Worlds Standard (15 points and original),,2,17/11/11,24.0,22.0,,14.0,0.0,,,,
UWb Blade,Raphael Levy,Standard,Worlds Standard (15 points and original),,2,17/11/11,26.0,7.0,20.0,7.0,0.0,,,,
GW Aggro, Kristoffer Jonassen,Standard,Worlds Standard (15 points and original),,2,17/11/11,25.0,19.0,2.0,14.0,0.0,,,,
Red Deck Wins,Frank Karsten,Standard,Worlds Standard (15 points and original),,2,17/11/11,23.0,21.0,10.0,6.0,0.0,,,,
Kessig Titan,Peter Kesteloo,Standard,Worlds Standard (15 points and original),,2,17/11/11,24.0,18.0,12.0,6.0,0.0,,,,
Tempered Steel,Brian Kibler,Standard,Worlds Standard (15 points and original),,2,17/11/11,19.0,21.0,4.0,16.0,0.0,,,,
Tezzeret Control,Shouta Yasooka,Standard,Worlds Standard (15 points and original),,2,17/11/11,25.0,8.0,13.0,14.0,0.0,,,,
Solar Flare,Ken Yukuhiro,Standard,Worlds Standard (15 points and original),,2,17/11/11,26.0,10.0,19.0,5.0,0.0,,,,
Illusions,Phillip Lorren,Standard,Worlds Standard (15 points and original),,2,17/11/11,20.0,21.0,19.0,,0.0,,,,
Mono Green Infect,Croatia - Stjepan Sučić,Standard,2012 World Magic Cup,,5-8,18/08/12,21.0,10.0,21.0,8.0,0.0,,,,
UW Delver,Scotland - Stephen Murray,Standard,2012 World Magic Cup,,5-8,18/08/12,19.0,17.0,22.0,2.0,0.0,,,,
BR Zombies,Chinese Taipei - Yu Min Yang,Standard,2012 World Magic Cup,,1,18/08/12,23.0,23.0,12.0,2.0,0.0,,,,
BR Zombies,Poland - Adam Bubar,Standard,2012 World Magic Cup,,3-4,18/08/12,22.0,27.0,9.0,2.0,0.0,,,,
UW Delver,Philippines - Andrew Cantillana,Standard,2012 World Magic Cup,,5-8,18/08/12,21.0,20.0,19.0,,0.0,,,,
Solar Flare,Slovak Republic - Robert Jurkovic,Standard,2012 World Magic Cup,,5-8,18/08/12,26.0,8.0,18.0,8.0,0.0,,,,
Zombies,Hungary - Tamás Glied,Standard,2012 World Magic Cup,,3-4,18/08/12,24.0,27.0,4.0,5.0,0.0,,,,
UW Delver,Puerto Rico - Gabriel Nieves,Standard,2012 World Magic Cup,,2,18/08/12,18.0,16.0,23.0,3.0,0.0,,,,
UWx Midrange,Shahar Shenhar,Standard,2013 World Championship,,1,01/08/13,26.0,10.0,24.0,,0.0,,,,
UWx Midrange,Dmitriy Butakov,Standard,2013 World Championship,,9,01/08/13,25.0,11.0,23.0,1.0,0.0,,,,
UWx Midrange,Ben Stark,Standard,2013 World Championship,,3-4,01/08/13,26.0,9.0,23.0,2.0,0.0,,,,
UWx Midrange,Stanislav Cifka,Standard,2013 World Championship,,11,01/08/13,26.0,9.0,23.0,2.0,0.0,,,,
Jund Midrange,David Ochoa,Standard,2013 World Championship,,10,01/08/13,25.0,18.0,16.0,1.0,0.0,,,,
UWx Midrange,Yuuya Watanabe,Standard,2013 World Championship,,6,01/08/13,26.0,9.0,23.0,2.0,0.0,,,,
UWx Midrange,Martin Juza,Standard,2013 World Championship,,16,01/08/13,26.0,9.0,23.0,2.0,0.0,,,,
UWx Midrange,Shuhei Nakamura,Standard,2013 World Championship,,8,01/08/13,26.0,9.0,23.0,2.0,0.0,,,,
UWx Midrange,Tom Martell,Standard,2013 World Championship,,12,01/08/13,26.0,10.0,24.0,,0.0,,,,
Naya,Willy Edel,Standard,2013 World Championship,,13,01/08/13,24.0,26.0,6.0,4.0,0.0,,,,
Jund Midrange,Reid Duke,Standard,2013 World Championship,,2,01/08/13,25.0,14.0,18.0,3.0,0.0,,,,
Gruul Aggro,Brian Kibler,Standard,2013 World Championship,,7,01/08/13,24.0,29.0,3.0,4.0,0.0,,,,
Jund Midrange,Josh Utter-Leyton,Standard,2013 World Championship,,3-4,01/08/13,25.0,18.0,16.0,1.0,0.0,,,,
Jund Control,Lee Shi Tian,Standard,2013 World Championship,,15,01/08/13,25.0,13.0,16.0,6.0,0.0,,,,
Jund Midrange,Eric Froehlich,Standard,2013 World Championship,,14,01/08/13,25.0,18.0,16.0,1.0,0.0,,,,
Wr Humans,Craig Wescoe,Standard,2013 World Championship,,5,01/08/13,24.0,29.0,7.0,,0.0,,,,
Sultai Whip ,Willy Edel (Brazil),Standard,2014 World Magic Cup,,8,07/12/14,23.0,24.0,10.0,3.0,0.0,,,,
Red Deck Wins,Kim Sang-eun (South Korea),Standard,2014 World Magic Cup,,5,07/12/14,18.0,18.0,16.0,8.0,0.0,,,,
Mardu Midrange,Martin Miller (Denmark),Standard,2014 World Magic Cup,,1,07/12/14,25.0,12.0,15.0,8.0,0.0,,,,
UB Control,Thomas Enevoldsen  (Denmark),Standard,2014 World Magic Cup,,1,07/12/14,27.0,,25.0,8.0,0.0,,,,
Abzan Midrange,Simon Nielsen (Denmark),Standard,2014 World Magic Cup,,1,07/12/14,23.0,28.0,5.0,4.0,0.0,,,,
Mardu Midrange,Socrates Rozakeas (Greece),Standard,2014 World Magic Cup,,2,07/12/14,25.0,13.0,17.0,5.0,0.0,,,,
Temur Aggro,Bill Chronopoulos (Greece),Standard,2014 World Magic Cup,,2,07/12/14,23.0,27.0,10.0,,0.0,,,,
Sultai Whip ,Panagiotis Savvidis (Greece),Standard,2014 World Magic Cup,,2,07/12/14,23.0,23.0,11.0,3.0,0.0,,,,
UB Control,Fabrizio Anteri (England),Standard,2014 World Magic Cup,,3,07/12/14,27.0,1.0,25.0,7.0,0.0,,,,
Abzan Midrange,David Inglis (England),Standard,2014 World Magic Cup,,3,07/12/14,23.0,25.0,9.0,3.0,0.0,,,,
Mardu Midrange,Francesco Giorgio (England),Standard,2014 World Magic Cup,,3,07/12/14,25.0,13.0,14.0,8.0,0.0,,,,
Azorius Heroic,Andrew Baeckstrom (USA),Standard,2014 World Magic Cup,,4,07/12/14,22.0,19.0,11.0,8.0,0.0,,,,
Golgari Constelation,Owen Turtenwald (USA),Standard,2014 World Magic Cup,,4,07/12/14,22.0,25.0,10.0,3.0,0.0,,,,
Jeskai Token,Neal Oliver (USA),Standard,2014 World Magic Cup,,4,07/12/14,24.0,8.0,22.0,6.0,0.0,,,,
Devotion to Constelation,Joo Hyun Oh  (South Korea),Standard,2014 World Magic Cup,,5,07/12/14,23.0,31.0,4.0,2.0,0.0,,,,
Jeskai Token,Jan Tomcani (Slovak Republic),Standard,2014 World Magic Cup,,7,07/12/14,24.0,8.0,22.0,6.0,0.0,,,,
Jeskai Token,Milos Stajic (Serbia),Standard,2014 World Magic Cup,,6,07/12/14,21.0,8.0,23.0,8.0,0.0,,,,
Abzan Midrange,Boris Bajgo (Serbia),Standard,2014 World Magic Cup,,6,07/12/14,25.0,17.0,15.0,3.0,0.0,,,,
Gruul Monsters,Aleksa Telarov (Serbia),Standard,2014 World Magic Cup,,6,07/12/14,24.0,26.0,7.0,3.0,0.0,,,,
Mardu Midrange,Nam Sung Wook  (South Korea),Standard,2014 World Magic Cup,,5,07/12/14,25.0,12.0,15.0,8.0,0.0,,,,
Gruul Monsters,Thiago Saporito (Brazil),Standard,2014 World Magic Cup,,8,07/12/14,24.0,26.0,8.0,2.0,0.0,,,,
Boros Midrange,Gabriel Fehr (Brazil),Standard,2014 World Magic Cup,,8,07/12/14,25.0,16.0,13.0,6.0,0.0,,,,
UB Control,Ivan Floch (Slovak Republic),Standard,2014 World Magic Cup,,7,07/12/14,28.0,2.0,26.0,4.0,0.0,,,,
Golgari Constelation,Michal Guldan (Slovak Republic),Standard,2014 World Magic Cup,,7,07/12/14,22.0,27.0,8.0,3.0,0.0,,,,
Red Deck Wins,Raphaël Lévy,Standard,2014 World Championship - Day 2,,6,03/12/14,22.0,16.0,22.0,,0.0,,,,
Sultai Whip ,Tom Martell,Standard,2014 World Championship - Day 2,,4,03/12/14,23.0,22.0,10.0,5.0,0.0,,,,
Sultai Whip ,Paulo Vitor Damo da Rosa,Standard,2014 World Championship - Day 2,,7,03/12/14,23.0,22.0,10.0,5.0,0.0,,,,
UB Control,Stanislav Cifka,Standard,2014 World Championship - Day 2,,6,03/12/14,28.0,2.0,26.0,4.0,0.0,,,,
Abzan Midrange,Patrick Chapin,Standard,2014 World Championship - Day 2,,4,03/12/14,25.0,15.0,15.0,5.0,0.0,,,,
Sultai Whip ,Kentaro Yamamoto,Standard,2014 World Championship - Day 2,,5,03/12/14,23.0,24.0,10.0,3.0,0.0,,,,
Jeskai Token,Yuuya Watanabe,Standard,2014 World Championship - Day 2,,2,03/12/14,24.0,8.0,22.0,6.0,0.0,,,,
Mardu Midrange,Nam Sung Wook,Standard,2014 World Championship - Day 2,,4,03/12/14,25.0,12.0,15.0,8.0,0.0,,,,
Golgari Constelation,Reid Duke,Standard,2014 World Championship - Day 2,,1,03/12/14,22.0,26.0,9.0,3.0,0.0,,,,
Sultai Whip ,Willy Edel,Standard,2014 World Championship - Day 2,,6,03/12/14,23.0,22.0,10.0,5.0,0.0,,,,
UB Control,Ivan Floch,Standard,2014 World Championship - Day 2,,4,03/12/14,28.0,2.0,26.0,4.0,0.0,,,,
Abzan Midrange,Yuuki Ichikawa,Standard,2014 World Championship - Day 2,,4,03/12/14,23.0,26.0,9.0,2.0,0.0,,,,
Abzan Midrange,Jacob Wilson,Standard,2014 World Championship - Day 2,,6,03/12/14,25.0,16.0,13.0,6.0,0.0,,,,
Sultai Whip ,Josh Utter-Leyton,Standard,2014 World Championship - Day 2,,4,03/12/14,23.0,22.0,10.0,5.0,0.0,,,,
Golgari Constelation,Owen Turtenwald,Standard,2014 World Championship - Day 2,,4,03/12/14,22.0,26.0,9.0,3.0,0.0,,,,
Jeskai Ascendancy,Lee Shi Tian,Standard,2014 World Championship - Day 2,,6,03/12/14,22.0,11.0,16.0,11.0,0.0,,,,
Sultai Whip ,Shahar Shenhar,Standard,2014 World Championship - Day 2,,4,03/12/14,23.0,22.0,10.0,5.0,0.0,,,,
Boros Aggro,Samuel Black,Standard,2014 World Championship - Day 2,,4,03/12/14,24.0,18.0,12.0,6.0,0.0,,,,
Abzan Midrange,Paul Rietzl,Standard,2014 World Championship - Day 2,,3,03/12/14,25.0,15.0,15.0,5.0,0.0,,,,
Abzan Midrange,Raymond Perez Jr.,Standard,2014 World Championship - Day 2,,3,03/12/14,25.0,14.0,14.0,7.0,0.0,,,,
Abzan Midrange Control,Shaun McLaren,Standard,2014 World Championship - Day 2,,1,03/12/14,25.0,12.0,17.0,6.0,0.0,,,,
Golgari Constelation,William Jensen,Standard,2014 World Championship - Day 2,,4,03/12/14,22.0,26.0,9.0,3.0,0.0,,,,
Red Deck Wins,Jérémy Dezani,Standard,2014 World Championship - Day 2,,4,03/12/14,22.0,16.0,22.0,,0.0,,,,
Jeskai Control,Lars Dam,Standard,2014 World Championship - Day 2,,4,03/12/14,25.0,7.0,24.0,4.0,0.0,,,,
Bant Megamorph,Valentin Mackl (Team Austria),Standard,World Magic Cup 2015,,4,13/12/15,25.0,22.0,6.0,7.0,0.0,,,,
Mardu Midrange,Fiala Ibitz (Team Austria),Standard,World Magic Cup 2015,,4,13/12/15,25.0,15.0,17.0,3.0,0.0,,,,
Esper Dragons,Nikolaus Eigner (Team Austria),Standard,World Magic Cup 2015,,4,13/12/15,27.0,10.0,23.0,,0.0,,,,
Orzhov Token,Christoffer Larsen (Team Denmark),Standard,World Magic Cup 2015,,5,13/12/15,25.0,10.0,16.0,9.0,0.0,,,,
4c Rally,Martin Müller (Team Denmark),Standard,World Magic Cup 2015,,5,13/12/15,24.0,27.0,9.0,,0.0,,,,
Red Deck Wins,Martin Dang (Team Denmark),Standard,World Magic Cup 2015,,5,13/12/15,21.0,12.0,27.0,,0.0,,,,
Esper Dragon,Arnaud Soumet (Team France),Standard,World Magic Cup 2015,,3,13/12/15,27.0,10.0,23.0,,0.0,,,,
Mardu Midrange,Pierre Dagen (Team France),Standard,World Magic Cup 2015,,3,13/12/15,26.0,16.0,17.0,1.0,0.0,,,,
E7DW,Hichem Tedjditi (Team France),Standard,World Magic Cup 2015,,3,13/12/15,21.0,14.0,25.0,,0.0,,,,
Esper Control,Jose Andrés (Team Guatemala),Standard,World Magic Cup 2015,,6,13/12/15,27.0,4.0,25.0,4.0,0.0,,,,
Rakdos Draons,Wilfredo Bojorquez (Team Guatemala),Standard,World Magic Cup 2015,,6,13/12/15,25.0,14.0,19.0,2.0,0.0,,,,
Gruul Landfall,Christopher Virula (Team Guatemala),Standard,World Magic Cup 2015,,6,13/12/15,24.0,20.0,16.0,,0.0,,,,
Esper Dragons,Andrea Mengucci (Team Italy),Standard,World Magic Cup 2015,,1,13/12/15,26.0,10.0,24.0,,0.0,,,,
Temur Megamorph,William Pizzi (Team Italy),Standard,World Magic Cup 2015,,1,13/12/15,24.0,22.0,14.0,,0.0,,,,
Atarka Red,Marco Cammilluzzi (Team Italy),Standard,World Magic Cup 2015,,1,13/12/15,21.0,14.0,25.0,,0.0,,,,
Esper Dragons,Yuuya Watanabe (Team Japan),Standard,World Magic Cup 2015,,8,13/12/15,27.0,10.0,22.0,1.0,0.0,,,,
Atarka Red,Soyo You (Team Japan),Standard,World Magic Cup 2015,,8,13/12/15,21.0,14.0,25.0,,0.0,,,,
Abzan Rally,Kenji Tsumura (Team Japan),Standard,World Magic Cup 2015,,8,13/12/15,24.0,28.0,8.0,,0.0,,,,
Abzan Aggro,Grant Hislop (Team Scotland),Standard,World Magic Cup 2015,,7,13/12/15,26.0,20.0,8.0,6.0,0.0,,,,
Jeskai,Stephen Murray (Team Scotland),Standard,World Magic Cup 2015,,7,13/12/15,25.0,16.0,15.0,4.0,0.0,,,,
Rakdos Dragons,Martin Clement (Team Scotland),Standard,World Magic Cup 2015,,7,13/12/15,26.0,14.0,17.0,3.0,0.0,,,,
Esper Dragons,Popitukgul (Team Thailand),Standard,World Magic Cup 2015,,2,13/12/15,26.0,10.0,21.0,3.0,0.0,,,,
Atarka Red,Sirilertvorakul (Team Thailand),Standard,World Magic Cup 2015,,2,13/12/15,21.0,13.0,26.0,,0.0,,,,
Abzan Midrange,Chom Pasidparchya (Team Thailand),Standard,World Magic Cup 2015,,2,13/12/15,25.0,22.0,9.0,4.0,0.0,,,,
Abzan Midrange,Paul Rietzl,Standard,2015 World Championship,,3,30/08/15,26.0,20.0,10.0,4.0,0.0,,,,
Abzan Midrange,Owen Turtenwald,Standard,2015 World Championship,,2,30/08/15,26.0,15.0,17.0,2.0,0.0,,,,
Abzan Midrange,Seth Manfield,Standard,2015 World Championship,,1,30/08/15,26.0,14.0,17.0,3.0,0.0,,,,
Abzan Midrange,Brad Nelson,Standard,2015 World Championship,,17-32,30/08/15,26.0,14.0,17.0,3.0,0.0,,,,
Abzan Midrange,Antonio Del Moral León,Standard,2015 World Championship,,17-32,30/08/15,26.0,21.0,10.0,3.0,0.0,,,,
Jeskai Midrange,Shahar Shenhar,Standard,2015 World Championship,,17-32,30/08/15,25.0,18.0,17.0,,0.0,,,,
Abzan Midrange,Lee Shi Tian,Standard,2015 World Championship,,17-32,30/08/15,26.0,22.0,10.0,2.0,0.0,,,,
Jeskai Midrange,Eric Froehlich,Standard,2015 World Championship,,17-32,30/08/15,25.0,18.0,17.0,,0.0,,,,
Jeskai Midrange,Mike Sigrist,Standard,2015 World Championship,,17-32,30/08/15,25.0,16.0,19.0,,0.0,,,,
Gruul Dragons,Kentaro Yamamoto,Standard,2015 World Championship,,17-32,30/08/15,24.0,26.0,10.0,,0.0,,,,
Abzan Midrange,Steve Rubin,Standard,2015 World Championship,,16,30/08/15,26.0,14.0,17.0,3.0,0.0,,,,
Gruul Deck Wins,Martin Dang,Standard,2015 World Championship,,15,30/08/15,20.0,15.0,25.0,,0.0,,,,
Jeskai Midrange,Alexander Hayne,Standard,2015 World Championship,,14,30/08/15,25.0,16.0,19.0,,0.0,,,,
Esper Dragons,Joel Larsson,Standard,2015 World Championship,,13,30/08/15,27.0,6.0,25.0,2.0,0.0,,,,
Jeskai Midrange,Shaun McLaren,Standard,2015 World Championship,,7,30/08/15,25.0,17.0,18.0,,0.0,,,,
Jeskai Midrange,Jacob Wilson,Standard,2015 World Championship,,12,30/08/15,25.0,16.0,19.0,,0.0,,,,
Esper Dragons,Paulo Vitor Damo Da Rosa,Standard,2015 World Championship,,11,30/08/15,27.0,5.0,26.0,2.0,0.0,,,,
Jeskai Midrange,Yuuya Watanabe,Standard,2015 World Championship,,10,30/08/15,25.0,17.0,17.0,1.0,0.0,,,,
Esper Dragons,Ondřej Stráský,Standard,2015 World Championship,,9,30/08/15,27.0,5.0,26.0,2.0,0.0,,,,
Esper Dragons,Thiago Saporito,Standard,2015 World Championship,,8,30/08/15,27.0,5.0,26.0,2.0,0.0,,,,
Weenie White ,Samuel Black,Standard,2015 World Championship,,4,30/08/15,25.0,25.0,3.0,7.0,0.0,,,,
Gruul Deck Wins,Magnus Lantto,Standard,2015 World Championship,,5,30/08/15,20.0,15.0,25.0,,0.0,,,,
Abzan Midrange,Ari Lax,Standard,2015 World Championship,,17-32,30/08/15,26.0,15.0,16.0,3.0,0.0,,,,
Esper Dragons,Martin Müller,Standard,2015 World Championship,,6,30/08/15,27.0,6.0,25.0,2.0,0.0,,,,
Jund Delirium,Lukas Blohon,Standard,2016 World Championship,,Other,02/09/16,24.0,11.0,18.0,7.0,0.0,,,,
Bant Humans,Brian Braun-Duin,Standard,2016 World Championship,,1,02/09/16,25.0,25.0,8.0,2.0,0.0,,,,
