Deck,Player,Format,Event,Level,Rank,Date,LANDS,CREATURES,INSTANTS_and_SORC.,OTHER_SPELLS,SIDEBOARD,LANDS_(29),LANDS_(26),LANDS_(27),LANDS_(28)
Mono Red Land D,Jamie Parke,Standard,Worlds 1999 (Yokohama),,5-8,08/08/99,24.0,15.0,17.0,4.0,0.0,,,,
Oath into Thorn Elemental,Xavier Curto,Standard,Worlds 1999 (Yokohama),,Day 1 undefeated,08/08/99,23.0,5.0,19.0,13.0,0.0,,,,
Mono Black Suicide,Antoine Menard,Standard,Worlds 1999 (Yokohama),,Other,08/08/99,20.0,18.0,12.0,10.0,0.0,,,,
Wildfire,Patrick Mello,Standard,Worlds 1999 (Yokohama),,Other,08/08/99,20.0,8.0,4.0,28.0,0.0,,,,
Mono Blue Control,Sigurd Eskeland,Standard,Worlds 1999 (Yokohama),,Other,08/08/99,28.0,3.0,21.0,8.0,0.0,,,,
Mono Green Aggro,Raffaele Lo Moro,Standard,Worlds 1999 (Yokohama),,3-4,08/08/99,20.0,28.0,4.0,8.0,0.0,,,,
Mono Black Midrange,Gary Wise,Standard,Worlds 1999 (Yokohama),,5-8,08/08/99,22.0,10.0,21.0,7.0,0.0,,,,
Stompy,Nicolai Herzog,Standard,Worlds 1999 (Yokohama),,5-8,08/08/99,22.0,25.0,5.0,8.0,0.0,,,,
Stompy,Matt Linde,Standard,Worlds 1999 (Yokohama),,3-4,08/08/99,22.0,26.0,4.0,8.0,0.0,,,,
Mono Red Land D,Mark Le Pine,Standard,Worlds 1999 (Yokohama),,2,08/08/99,24.0,15.0,19.0,4.0,0.0,,,,
Wildfire,Kai Budde,Standard,Worlds 1999 (Yokohama),,1,08/08/99,20.0,8.0,4.0,28.0,0.0,,,,
Ice Age.dec,Dominik Hothow,Standard,Worlds 2000 (Brussels),,3-4,06/08/00,24.0,25.0,11.0,,0.0,,,,
Magpie,Helmut Summersberger,Standard,Worlds 2000 (Brussels),,5-8,06/08/00,27.0,9.0,18.0,6.0,0.0,,,,
Trinity,Benedikt Klauser,Standard,Worlds 2000 (Brussels),,3-4,06/08/00,23.0,28.0,4.0,5.0,0.0,,,,
Tinker,Jon Finkel,Standard,Worlds 2000 (Brussels),,1,06/08/00,21.0,9.0,8.0,22.0,0.0,,,,
Angry Non-Hermit,Janosch Kühn,Standard,Worlds 2000 (Brussels),,5-8,06/08/00,24.0,20.0,13.0,3.0,0.0,,,,
